Ticker,Price,Market Cap,Date
MNC,0.09615,165504.27,01/05/2014
HUC,0.09705,164634.19,01/05/2014
NRS,0.08779,163243.59,01/05/2014
BTB,14.84,161576.55,01/05/2014
NC2,0.00269,161388.36,01/05/2014
SXC,0.002324,161139.77,01/05/2014
RED,0.003467,152312.38,01/05/2014
FAIR,0.002971,148582.79,01/05/2014
LEAF,0.000009121,137521.33,01/05/2014
MMC,0.01954,134928.52,01/05/2014
SPA,0.004738,133518.02,01/05/2014
MRC,0.000005351,132558.64,01/05/2014
GRCE,0.007803,131943.10,01/05/2014
I0C,0.006416,130749.46,01/05/2014
BTCS,0.02708,128781.89,01/05/2014
RIC,0.05288,123547.80,01/05/2014
MAZA,0.0004011,120399.84,01/05/2014
ISR,0.0501,116905.97,01/05/2014
PHS,0.05905,115428.71,01/05/2014
YAC,0.005309,112825.23,01/05/2014
CATC,0.01418,111217.49,01/05/2014
HIRO,0.003403,109744.36,01/05/2014
PND,0.000003533,108107.67,01/05/2014
GRS,0.003941,107352.88,01/05/2014
FLAP,0.000002017,101304.64,01/05/2014
DIEM,0.000004574,98717.35,01/05/2014
FST,0.001291,96942.24,01/05/2014
MOON,9.991E-7,93351.33,01/05/2014
MEOW,0.000009196,90743.88,01/05/2014
DEL,0.000178,89298.80,01/05/2014
XSV,0.004703,83388.71,01/05/2014
MRY,0.003709,75413.16,01/05/2014
SLR,0.004574,75400.49,01/05/2014
HVC,0.003331,74599.61,01/05/2014
EXE,0.0106,71995.79,01/05/2014
ZTC,0.01828,67056.85,01/05/2014
42,16987.48,64413.70,01/05/2014
KDC,0.008792,64361.46,01/05/2014
DEM,0.008794,63439.91,01/05/2014
365,1155.16,61891.34,01/05/2014
EAC,0.00002314,61565.84,01/05/2014
CACH,0.2094,61417.00,01/05/2014
Q2C,0.0002488,59200.49,01/05/2014
NOTE,0.0007375,55918.26,01/05/2014
PAWN,0.008163,55504.42,01/05/2014
YC,0.002215,55202.76,01/05/2014
BET,0.005109,54805.78,01/05/2014
FRK,0.2149,54637.53,01/05/2014
LOT,0.000004578,54079.56,01/05/2014
CESC,0.0001143,53273.99,01/05/2014
DTC,0.03105,53199.34,01/05/2014
ASC,0.000108,52990.97,01/05/2014
TOP,0.000004578,52737.55,01/05/2014
EFL,0.004196,51336.56,01/05/2014
HEX,0.000004574,50810.65,01/05/2014
PIG,0.0002928,50768.29,01/05/2014
FLO,0.001133,49571.83,01/05/2014
PLNC,0.009881,48189.04,01/05/2014
ELC,0.1332,47753.00,01/05/2014
THOR,0.000004574,47498.09,01/05/2014
RPC,0.9548,46942.52,01/05/2014
GER,0.002118,46003.68,01/05/2014
AIR,0.0164,44235.04,01/05/2014
888,0.002763,44148.72,01/05/2014
LKY,0.002847,42423.60,01/05/2014
CAT,0.02328,41085.18,01/05/2014
LTB,0.3911,40797.79,01/05/2014
TES,0.0007913,38153.49,01/05/2014
FZ,0.005226,35649.47,01/05/2014
STL,0.01591,35641.64,01/05/2014
BTE,0.01449,35398.97,01/05/2014
BTG,1.36,35135.07,01/05/2014
DOPE,0.00075,34885.37,01/05/2014
CTM,5.542E-7,34712.31,01/05/2014
GLC,0.0008148,34486.27,01/05/2014
ZED,0.003176,33297.32,01/05/2014
ARG,0.02312,31360.60,01/05/2014
CGA,0.7553,30915.72,01/05/2014
GRUMP,0.000001663,29492.25,01/05/2014
BLC,0.0119,28790.95,01/05/2014
MARS,0.005214,27365.06,01/05/2014
CSC,0.001286,26396.52,01/05/2014
NEC,0.004919,25802.08,01/05/2014
PMC,0.05024,25069.35,01/05/2014
LGC,0.01767,24359.21,01/05/2014
EBT,0.0001601,24204.70,01/05/2014
BCX,0.002545,24013.47,01/05/2014
TEA,0.0005724,23160.64,01/05/2014
EMO,4.434E-7,22033.24,01/05/2014
PXC,0.001553,20803.33,01/05/2014
RBY,0.001322,20686.14,01/05/2014
JKC,0.001944,19932.41,01/05/2014
BLU,0.0001798,19071.36,01/05/2014
LYC,0.0001601,18787.85,01/05/2014
